vault,round_open_ts,block,otoken,strike_usd,expiry_ts,is_put,collateral_raw,premium_raw,otokens_sold_raw,bidding_token,perf_fee_raw,vault_fee_raw,fee_round
T-ETH-C,1633087382,13333130,0x01e21b356b83daa21c0e6aabf68a227a7b5e20b1,3700.0,1633680000,0,299821137100244382955,2518497551650000039,29982113710,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,93299960350804200,178862899755617045,4
T-ETH-C,1633691343,13377856,0x663f2ec8a3110f7e045734dcbdc6622b98a436d9,4300.0,1634284800,0,1274570859845907047476,5034554896368000000,127457085984,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,251849755165000003,367815145432080612,5
T-ETH-C,1634296195,13422289,0x13ed4bcdea708eb8d1f13fe05491a437f08873c4,4500.0,1634889600,0,2972694157559276992446,16346000000000000000,297269415755,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,503455489636800000,994260942515347017,6
T-ETH-C,1634901850,13467124,0xcb259c6c6c66729585f63f6a961b66c926348a60,4900.0,1635494400,0,2976384463124243731792,14880000000000000000,297638446312,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1785600663854655306,2932656084834372505,7
T-ETH-C,1635506390,13511764,0xb919e89d751aa5ec9b5e05e8145923b042db0cae,5200.0,1636099200,0,5509543596048769050514,19832400000000000000,550954359604,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1639779812824826691,2787691376950832522,8
T-ETH-C,1636369466,13575377,0x1952cb76216f418778f509cac9bc9ec42ac89b17,5400.0,1636704000,0,13128236965225727249757,29407258000000000000,1312823696522,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2743828353997591984,4867593123732651004,9
T-ETH-C,1636716613,13601050,0x893dd82aab48eb19a3257ab0e167c46fcb77a4a6,5500.0,1637308800,0,16211675629214107460133,36314163000000000000,1621167562921,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,27107332003284669244,32246771456298447865,10
T-ETH-C,1637319872,13645228,0x2bf4c7d8026448f8928d138db587d3f1c81c0ca0,5000.0,1637913600,0,19071004762564401544835,48821760000000000000,1907100476256,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,17712273123817377734,23998360622952454725,11
T-ETH-C,1637924887,13689359,0x0328451d7ed136fe026a0e43bae24c0066ccdbce,4900.0,1638518400,0,19230857000252824506611,36538628300475000000,1923085700025,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,19441685682866410319,26831130799200814578,12
T-ETH-C,1638529540,13733252,0x6c6127bbdb7c2ac0ed6b20f1c5646b2fe54012c5,5500.0,1639123200,0,18785573621957820325121,41328261968308597717,1878557362195,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,3653862830047500000,11044065097335403558,13
T-ETH-C,1639133837,13776984,0x041e17f26d0e52f83a6ddfcf2e65c16a67be08c2,4800.0,1639728000,0,18169743075168112367989,99933586913424970114,1816974307516,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,4132826196830859771,11354072683429565780,14
T-ETH-C,1639741586,13822458,0x5bf19d2d3475609a811ba0e99136168c3ee00b1d,4500.0,1640332800,0,18190771692272345099000,83125600000000000000,1819077169227,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,9993358691342497011,17000875871850491472,15
T-ETH-C,1640346320,13867705,0x9a07b698dbfec1fceca2a49808540444d8b5966e,4700.0,1640937600,0,19366888583433958898752,89087687483778000000,1936688858343,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,8312560000000000000,15321696045423980686,16
T-ETH-C,1640951146,13912936,0x3a3911f5eb20ebe16b26faf0de2dcd2585de4d62,4400.0,1641542400,0,20102223661927671356951,69496000000000000000,2010222366192,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,8908768748377800000,16371303006851007164,17
T-ETH-C,1641552608,13957868,0x9c33f54fcf64b0265b691a505440b2613f731212,3700.0,1642147200,0,22347085460730558420014,67041256382190000000,2234708546073,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,6949600000000000000,14686664793528977625,18
T-ETH-C,1642157407,14003199,0xcd298459067ee0d98d7a10182939fa47a6b735cd,3700.0,1642752000,0,23598720478905709778606,42744000000000000000,2359872047890,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,6704125638219000000,15301288081834765783,19
T-ETH-C,1642762228,14048497,0xfb1e01bf849651fa4f00454e59bf520a898d9147,3200.0,1643356800,0,23250163115962193008818,97650685087129650685,2325016311596,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,4274400000000000000,13342320115529074042,20
T-ETH-C,1643367210,14093727,0x93e2aad69f4156df5b575a537a6af169cc99b48a,2800.0,1643961600,0,11856813561945580263011,35926145092714126145,1185681356194,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,9765068508712965068,18720355970243443267,21
T-ETH-C,1643971839,14139059,0x246b6fa9b19ca1e11df5b8949da5b859c1d076a3,3200.0,1644566400,0,10995229091078876231404,35184733091424000000,1099522909107,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1521145619879210599,6074779535838666064,22
